Dataset,NetworkType,Alternative,IsCandidate,WelfareAtZero,WelfareSlope,SingletonSumAtZero,SurplusAtZero,SurplusSlope,CriticalC,CriticalCErrorEstimate
LastFM,Global,6,0,347383.508379293,-11436,138794.491620707,208589.016758586,-22872,9.11984158615712,2.6503129870775e-10
LastFM,Global,7,0,339829.641708221,-11436,136436.358291779,203393.283416441,-22872,8.89267591012771,2.60147411574636e-10
LastFM,Global,8,1,347713.686811727,-11436,138212.313188273,209501.373623454,-22872,9.15973127070017,2.64378525477228e-10
Amazon,Local,1,0,15074672.568103,-200917.800000004,6026743.43189697,9047929.13620605,-401835.600000007,22.5164946465816,5.80569528482235e-10
Amazon,Local,2,0,15065764.3435898,-200917.800000004,6006041.65641023,9059722.68717954,-401835.600000007,22.5458438405641,5.8032901391969e-10
Amazon,Local,3,0,15057082.3871596,-200917.800000004,6020113.61284043,9036968.77431915,-401835.600000007,22.4892189102185,5.80092629871484e-10
Amazon,Local,4,0,15061979.7077267,-200917.800000004,6030070.29227328,9031909.41545343,-401835.600000007,22.4766282914039,5.80220605358285e-10
Amazon,Local,5,0,15056702.9719644,-200917.800000004,6031119.02803561,9025583.94392877,-401835.600000007,22.4608868500666,5.79875355573372e-10
Amazon,Local,6,1,15089270.6630785,-200917.800000004,6032207.33692154,9057063.32615692,-401835.600000007,22.5392258081582,5.813068582147e-10
Amazon,Local,7,0,15063626.9796237,-200917.800000004,6042801.02037634,9020825.95924731,-401835.600000007,22.4490462249914,5.80192202337878e-10
Amazon,Local,8,0,15081580.3787544,-200917.800000004,6031175.62124558,9050404.75750883,-401835.600000007,22.5226554280125,5.80750367770346e-10
Amazon,Global,1,0,15072550.9385569,-502294.5,6028865.06144309,9043685.87711382,-1004589,9.00237398290626,2.71289385730011e-10
Amazon,Global,2,0,15062672.1873128,-502294.5,6009133.81268724,9053538.37462552,-1004589,9.01218147384205,2.72061900855881e-10
Amazon,Global,3,0,15058886.6295336,-502294.5,6018309.37046636,9040577.25906727,-1004589,8.99927956514283,2.70978070152036e-10
Amazon,Global,4,0,15061152.8639843,-502294.5,6030897.13601569,9030255.72796862,-1004589,8.98900518318299,2.71091747513084e-10
Amazon,Global,5,0,15058139.2672717,-502294.5,6029682.73272827,9028456.53454347,-1004589,8.98721420854047,2.70206939952715e-10
Amazon,Global,6,1,15089308.7806282,-502294.5,6032169.21937181,9057139.56125639,-1004589,9.01576621011815,2.72317456191649e-10
Amazon,Global,7,0,15066391.4097893,-502294.5,6040036.59021071,9026354.81957858,-1004589,8.9851220942879,2.71456795907925e-10
Amazon,Global,8,0,15081577.9227969,-502294.5,6031178.07720312,9050399.84559376,-1004589,9.00905728172791,2.70764877648218e-10
DBLP,Local,1,0,14260588.906991,-190248.000000004,5726427.09300897,8534161.81398206,-380496.000000007,22.4290447573218,5.81899568108884e-10
DBLP,Local,2,0,14264401.700083,-190248.000000004,5697540.29991699,8566861.40016601,-380496.000000007,22.5149841264188,5.81303978529011e-10
DBLP,Local,3,0,14229228.1233112,-190248.000000004,5718041.87668882,8511186.24662236,-380496.000000007,22.3686615539249,5.80728460853989e-10
DBLP,Local,4,0,14265695.2359628,-190248.000000004,5710288.7640372,8555406.47192561,-380496.000000007,22.484878873695,5.81503272645299e-10
DBLP,Local,5,0,14277943.2885864,-190248.000000004,5699272.71141364,8578670.57717272,-380496.000000007,22.5460203975142,5.81623543884606e-10
DBLP,Local,6,1,14305851.3457016,-190248.000000004,5694912.65429837,8610938.69140326,-380496.000000007,22.6308257942346,5.82460826896537e-10
DBLP,Local,7,0,14250747.2200502,-190248.000000004,5720266.77994981,8530480.44010039,-380496.000000007,22.419369559996,5.8109268767583e-10
DBLP,Local,8,0,14294344.1793138,-190248.000000004,5692769.82068621,8601574.35862758,-380496.000000007,22.6062149368914,5.82434522941256e-10
DBLP,Global,1,0,14262014.2203741,-475620,5725001.77962592,8537012.44074816,-951240,8.97461465113763,2.69610611309311e-10
DBLP,Global,2,0,14265191.2043573,-475620,5696750.79564269,8568440.40871461,-951240,9.00765359816094,2.68453091133099e-10
DBLP,Global,3,0,14234814.8688099,-475620,5712455.13119013,8522359.73761974,-951240,8.95921085910994,2.68730998991967e-10
DBLP,Global,4,0,14266472.9502793,-475620,5709511.04972069,8556961.90055862,-951240,8.99558670846329,2.70588898989507e-10
DBLP,Global,5,0,14277797.1783962,-475620,5699418.82160383,8578378.35679233,-951240,9.01810095958153,2.67380069414665e-10
DBLP,Global,6,1,14303442.3997108,-475620,5697321.60028917,8606120.79942166,-951240,9.04726546341791,2.7320459661646e-10
DBLP,Global,7,0,14249380.2254442,-475620,5721633.77455582,8527746.45088836,-951240,8.96487369211594,2.69458338343151e-10
DBLP,Global,8,0,14289686.9525087,-475620,5697427.04749132,8592259.90501736,-951240,9.0326940677614,2.70797044536422e-10
